COM,Nom Commune,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,NTLBIN
19194,Saint-Clement,42,14,0,1,316,210,142,97,61,0,1,23,5,799.311335468607,647.793302021714,613.837610801631,33.9556912200835,0.968539284653594,4.83261829041268,1.94800441739873,31.1709945777105,82.3533000698885,59.0631885430239,151.518033446893,49.083279806095,61.707902885898,40.7268507549,39.0171688746992,53.3267274340477,159.877004375948,22610,1395,0
19195,Saint-Cyprien,15,7,0,1,99,71,26,22,13,0,0,3,0,229.251987011483,182.4689786622,169.205803844099,13.263174818101,2.01118515373155,0.0,1.01742729108526,9.10992624663325,18.4117183046168,13.2989575237956,46.7830083492827,17.4768570510874,22.1593749217583,7.14677637643701,5.20758101634044,20.4696867902097,50.6952366561513,23170,363,0
19196,Saint-Cyr-la-Roche,28,8,0,2,124,69,57,17,19,0,0,5,1,311.0,229.0,214.0,15.0,2.0,0.0,0.0,15.0,10.0,13.0,82.0,38.0,29.0,15.0,25.0,25.0,55.0,22930,447,0
19198,Saint-Eloy-les-Tuileries,4,3,0,1,18,21,12,2,2,0,0,1,0,61.3137254901961,35.3333333333333,31.1764705882353,4.15686274509804,1.03921568627451,0.0,0.0,5.19607843137255,1.03921568627451,0.0,25.9803921568627,6.23529411764706,11.4313725490196,8.31372549019608,5.19607843137255,0.0,0.0,s,s,0
19199,Saint-Etienne-aux-Clos,6,1,0,1,54,48,25,10,13,0,0,6,0,131.0,97.0,90.0,7.0,1.0,2.0,1.0,4.0,8.0,8.0,34.0,7.0,21.0,6.0,15.0,0.0,10.0,19920,215,0
19200,Saint-Etienne-la-Geneste,2,0,0,0,15,18,11,10,3,0,0,3,0,57.3483146067416,47.4606741573034,41.5280898876404,5.93258426966292,0.98876404494382,0.0,0.98876404494382,0.98876404494382,9.8876404494382,2.96629213483146,9.8876404494382,0.98876404494382,2.96629213483146,5.93258426966292,4.9438202247191,9.8876404494382,14.8314606741573,s,s,0
19201,Saint-Exupery-les-Roches,26,9,0,1,146,103,57,31,33,0,0,5,2,370.017601614697,279.323588665172,264.282898634878,15.0406900302933,2.04143370408153,0.0,0.985283109928991,12.2182214609522,20.7789941003282,21.9366552923431,90.6940129495251,32.1469159684763,42.6321333111741,15.9149636698747,20.2560617037803,25.3721678181579,69.5388893892273,23670,614,0
19202,Sainte-Fereole,59,23,0,4,447,325,221,127,99,1,2,28,2,1238.4555726692,969.222463658335,902.23599267691,66.9864709814255,6.11006538743504,5.07743172323948,4.06407922904185,49.5583195365781,98.3728292998862,77.0009414016335,269.233109010863,69.4685431346698,123.718205533054,76.0463603431389,96.4857444534391,106.574070286859,259.139339346527,23760,1865,0
19203,Sainte-Fortunade,68,23,2,2,481,261,155,116,59,1,2,29,7,1025.80801583615,770.84687853589,707.769256130351,63.0776224055393,7.67570952098088,0.0,2.07939926681627,52.9662019476486,89.4439834524509,48.7403225064615,254.961137300257,77.5170512445099,133.780902739965,43.6631833157829,64.6567173450494,79.2864251275727,187.785967327709,23330,1807,0
19204,Saint-Frejoux,7,4,0,0,58,47,19,23,10,0,0,4,1,156.0,124.0,117.0,7.0,1.0,1.0,1.0,8.0,20.0,9.0,32.0,10.0,10.0,12.0,5.0,10.0,20.0,20410,280,0
19205,Saint-Geniez-o-Merle,2,1,1,0,16,16,5,3,8,0,0,2,1,50.5681818181818,37.4204545454546,34.3863636363636,3.03409090909091,1.01136363636364,0.0,0.0,3.03409090909091,1.01136363636364,5.05681818181818,13.1477272727273,2.02272727272727,8.09090909090909,3.03409090909091,0.0,0.0,5.05681818181818,19430,97,0
19206,Saint-Germain-Lavolps,3,1,0,0,27,11,7,6,1,0,0,2,1,57.9627215631285,39.2216422948398,35.6560384498544,3.56560384498544,0.0,0.0,0.89140096124636,0.89140096124636,5.34840576747816,0.89140096124636,18.7410792682887,1.78280192249272,3.56560384498544,13.3926735008106,0.0,0.0,13.3710144186954,s,s,0
19207,Saint-Germain-les-Vergnes,44,20,1,0,262,164,126,84,39,0,0,20,4,685.0,539.0,500.0,39.0,3.0,3.0,1.0,26.0,65.0,34.0,146.0,58.0,54.0,34.0,55.0,85.0,185.0,23230,1131,0
