COM,Nom Commune,NTLBIN,P20_SCOL1824,P20_SCOL2529,P20_NSCOL15P_SUP2,ETTEF5021,ETTEF1021,ETTEF021,P20_POP1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP5,P20_ETUD1564,P20_RETR1564,C20_ACT1564_CS4
16157,Le Grand-Madieu,0,0,0,16,0,0,0,79.0,0.0,0.0,2.0,12.0,10.0
16158,Grassac,0,6,0,31,0,0,3,180.291029442413,0.0,0.0,5.76120167663038,23.1254423862912,29.6741789800944
16160,Guimps,0,4,0,42,0,1,5,300.0,0.0,1.0,22.0,29.0,55.0
16161,Guizengeard,0,4,0,7,0,0,1,102.0,3.0,0.0,8.0,9.0,0.0
16162,Gurat,0,2,0,12,0,0,2,94.0,2.0,0.0,9.0,5.0,10.0
16163,Hiersac,0,23,1,98,0,3,4,691.573639653397,10.1528859600781,5.05689181525291,49.5173168327849,65.090376407067,131.741064940386
16164,Hiesse,0,2,1,17,0,0,0,131.6144345564,4.9292005575024,1.00099496839737,6.77549940805939,15.0700759547218,10.1443153291411
16165,Houlette,0,3,1,25,0,0,0,233.586545100547,1.8293271122476,0.914663556123802,11.1791417070519,7.83035039746772,23.548077015361
16166,L'Isle-d'Espagnac,0,172,23,438,25,28,16,3160.8959269638,37.1723123534,14.6414030445311,270.44710172461,218.309860652581,558.077038488744
16167,Jarnac,0,93,6,285,6,19,17,2538.9625675156,72.7257930553177,6.06533737372804,160.768834065649,234.29567488829,348.682284113642
16168,Jauldes,0,17,0,70,0,0,1,528.710307653637,5.00018948690629,0.964242959277968,33.7269333579806,47.7273050502356,140.767774721431
16169,Javrezac,0,8,2,43,0,2,1,340.364705679925,2.89613183205059,0.0,21.4470333799373,22.0358656575441,75.0940346116722
16170,Juignac,0,5,0,31,0,1,0,209.0,0.0,0.0,15.0,23.0,30.0
16171,Juillac-le-Coq,0,8,0,44,0,1,2,386.0,11.0,2.0,16.0,28.0,65.0
16173,Juille,0,3,1,8,0,0,2,114.108695652174,2.95108695652174,0.0,5.90217391304348,13.7717391304348,0.0
16174,Julienne,0,11,0,42,0,0,0,331.037915171078,3.99623257848522,1.02128915487782,28.1738404036539,32.3922994733264,86.6110015780712
16175,Val des Vignes,0,25,1,101,1,3,7,732.0,7.0,0.0,54.0,51.0,145.0
16176,Lachaise,0,4,3,26,0,0,2,184.91346628752,0.0,0.0,9.5662945010022,15.5324960741784,48.4431964012745
16177,Ladiville,0,2,1,9,0,0,2,73.75,3.93333333333333,0.0,6.88333333333333,5.9,19.6666666666667
16178,Lagarde-sur-le-Ne,0,1,1,20,0,0,0,117.0,3.0,0.0,9.0,11.0,20.0
16180,Laprade,0,3,1,21,0,0,6,146.778798721263,2.00244205609957,0.0,7.9257241061965,19.0639638044033,25.0994807508622
16181,Lessac,0,2,0,21,0,1,2,322.323817473636,5.84209163606302,0.0,20.4715382309535,35.3228686238377,39.1802524613153
16182,Lesterps,0,4,1,31,0,0,1,243.0,6.0,2.0,14.0,34.0,15.0
16183,Lesignac-Durand,0,0,1,9,0,0,0,96.0,0.0,2.0,3.0,14.0,15.0
16184,Licheres,0,2,0,4,0,0,0,42.5057471264368,0.0,0.0,0.0,7.90804597701149,24.7126436781609
16185,Ligne,0,2,0,4,0,0,0,89.2902415102626,1.99550720507711,0.980450886208142,5.88270531724885,13.726312406914,4.90225443104071
16186,Lignieres-Ambleville,0,7,0,51,1,2,5,410.871354977748,3.95814298584352,0.0,17.6978796901461,22.829859661094,69.4090135801719
16187,Linars,0,25,4,171,0,0,4,1109.19573090588,9.1604155973479,3.05210590105187,84.897482065327,115.382361538722,181.472606699469
16188,Le Lindois,0,8,0,24,0,0,1,207.920889272128,4.83107098393707,0.0,16.0012753380135,34.3667216093023,24.3482778757397
16189,Londigny,0,2,0,16,0,0,2,129.019771307048,2.01993867034146,2.01145940207955,8.07126649584143,14.0823423008331,15.0965334543459
16190,Longre,0,4,0,14,0,0,0,98.4705882352941,0.994652406417112,0.0,6.96256684491979,13.9251336898396,14.9197860962567
16191,Lonnes,0,1,0,13,0,0,0,90.0,2.0,0.0,6.0,7.0,10.0
16192,Terres-de-Haute-Charente,0,50,1,218,3,7,6,2157.36123438939,30.5262425955428,6.21626748970768,156.178873438432,225.696816394716,296.33382382205
16193,Louzac-Saint-Andre,0,18,1,51,0,1,1,615.895269658991,10.9987255388436,0.873329822449348,55.8491235996927,54.4438350129761,74.7475645511637
16194,Lupsault,0,3,0,6,0,1,1,52.843137254902,0.0,1.07843137254902,3.23529411764706,5.3921568627451,0.0
16195,Lussac,0,6,0,10,0,0,1,174.351743784746,3.04669043093164,0.0,12.0974493043333,13.2252301833111,10.1456741684139
16196,Luxe,0,5,0,42,0,1,0,360.710525384807,5.0101584698473,0.986851319985503,19.5299339881149,43.1782594139595,29.7626287882245
16197,La Magdeleine,0,0,0,7,0,0,0,60.0,0.0,0.0,7.0,6.0,10.0
16198,Magnac-Lavalette-Villars,0,10,1,39,0,1,0,288.46352035434,3.80567108448677,2.72438056761663,21.6493507414313,23.3192904147336,51.632423163984
16199,Magnac-sur-Touvre,0,69,6,308,1,7,4,1890.46300224475,20.2706339889609,11.1684278908288,133.245477945567,171.978097609821,455.959381950155
16200,Maine-de-Boixe,0,5,1,45,0,3,1,297.276780637429,6.7312928309744,0.955201849836396,13.3786857637277,55.2107919747655,39.6052174693908
16203,Mainzac,0,0,0,3,0,0,0,72.4818181818182,4.32727272727273,0.0,1.08181818181818,11.9,5.40909090909091
16204,Bellevigne,0,22,2,85,0,5,9,737.0,7.0,0.0,37.0,53.0,95.0
16205,Manot,0,6,0,23,0,0,0,319.230557221423,8.99094054389171,0.0,24.3223480437956,37.5031955275195,33.6816791467636
16206,Mansle,0,38,1,131,2,10,3,1116.38175096863,18.0723865764209,2.8618483408969,83.9099796046005,88.8033153309075,188.546045214802
16207,Marcillac-Lanville,0,9,1,32,0,0,1,276.433700487753,6.51431472923683,1.08746202307327,17.1575181720693,27.4150477481036,44.1989423326093
16208,Mareuil,0,5,2,25,0,1,0,231.759073618084,5.34094293612746,0.0,11.9818212708651,25.3072686744844,37.3169385005698
16209,Marillac-le-Franc,0,13,2,80,0,0,0,481.502301214153,0.993969118705479,0.0,37.7793449459385,39.3285018694229,105.116637091486
16210,Marsac,0,22,2,66,0,0,4,505.880383743856,4.95515038023354,1.91213573865856,43.9848123754194,55.7784945711268,73.7349181175955
16211,Marthon,0,10,0,37,0,0,3,313.450109084846,4.07714645718323,2.02517313568369,21.3451243061147,28.4208223079349,50.254612839338
16212,Massignac,0,4,0,22,0,1,0,208.22718447553,5.92854765224276,1.00637310431373,8.78397402587971,25.1739282404358,14.8890994046282
16213,Mazerolles,0,2,0,22,0,0,3,153.397336282148,1.00888120945998,0.0,7.94742184679729,20.209065161878,25.1703420981372
16215,Medillac,0,2,0,16,0,0,1,88.6962025316456,1.94936708860759,0.0,3.89873417721519,12.6708860759494,9.74683544303798
16216,Merignac,0,11,1,70,0,1,2,424.445836924803,8.43975004361062,2.02559707334795,21.155942993011,48.0482480133004,83.369013452389
16217,Merpins,0,19,3,97,6,6,3,667.0,5.0,2.0,52.0,51.0,130.0
16218,Mesnac,0,5,1,34,0,1,2,280.0,4.0,1.0,8.0,23.0,40.0
16220,Les Metairies,0,11,0,50,0,0,1,434.117014981889,8.95627080330091,4.01936031150239,29.7902548344922,34.6518801600994,60.2879709896713
16221,Mons,0,4,0,10,0,0,2,146.675460130371,6.44094757554926,0.0,9.00651159320012,20.968645343173,14.7639084033065
16222,Montboyer,0,8,0,11,0,2,1,183.359399782467,0.934993981333262,1.07479278945853,8.91369981796938,21.0613828385647,14.0946539915317
16223,Montbron,1,26,0,144,5,4,5,1052.0,18.0,1.0,73.0,142.0,140.0
16224,Montmerac,0,7,1,76,0,0,2,426.609477722068,2.00926927023086,0.0,28.0805672181735,51.0039724201955,35.0727992536654
16225,Montemboeuf,0,6,0,60,1,2,1,381.190083607761,1.98118854599799,0.0,28.7106330387446,35.0574727868077,90.7663475107312
16226,Montignac-Charente,0,13,2,53,0,0,1,383.0,4.0,1.0,31.0,27.0,90.0
16227,Montignac-le-Coq,0,4,0,11,0,0,0,79.0,1.0,0.0,3.0,8.0,25.0
16229,Montjean,0,0,0,12,0,1,2,132.144957448441,7.15488637087311,0.0,6.11464973565839,16.0438916560371,5.0583554085302
16230,Montmoreau,1,58,0,171,7,10,5,1325.07216533435,18.9479715601263,4.5507090322402,88.7342588930414,127.014982634493,127.208498429081
16231,Montrollet,0,3,0,28,0,0,1,183.04525194024,2.09644108295598,1.04822054147799,16.4316041228663,21.9463048669217,35.417467063801
16232,Mornac,0,41,1,207,4,8,2,1336.22591327323,10.8998920341004,2.02365005684594,103.125965846979,159.468082971627,212.876340789391
16233,Mosnac-Saint-Simeux,0,24,0,106,0,2,2,639.59765095727,4.0161569129422,3.03229450993473,60.3161625680073,52.8230368027509,134.557816651976
16234,Moulidars,0,18,1,81,0,0,5,457.78443314965,1.0872182911478,1.22763441558059,39.2305708300756,30.4954408328568,87.1295906261554
16236,Mouthiers-sur-Bo├½me,0,52,6,234,2,5,6,1392.0,11.0,5.0,124.0,124.0,360.0
