COM,Nom Commune,N TL,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,P20_POP1564
24090,Celles,0,0.0451752154685976,0.0225876077342988,0.0,0.0,0.4291645469516778,0.2117588225090515,0.0988207838375574,0.0875269799704079,0.0677628232028965,0.0,0.0,0.0282345096678735,0.0056469019335747,0.7657817992378362,0.7143929335226304,0.051388865715204,0.0085692682544344,0.0028528515504673,0.0,0.0771234947388564,0.0514210467959206,0.0314350459025212,0.2342182007621644,0.0486433315498561,0.1227155616274868,0.0628593075848212,0.0142642577523368,0.0285552995122546,0.1570408558040552,20090,542,354.176506609514
24091,Cenac-et-Saint-Julien,0,0.0627321843499713,0.0229507991524285,0.0045901598304857,0.0061202131073142,0.4330050773424849,0.2953002824279137,0.1637157006206568,0.1116938892084855,0.078032717118257,0.0,0.0076502663841428,0.0703824507341141,0.0198906925987713,0.759357025097975,0.6726605734910959,0.0866964516068792,0.0128355153055782,0.0091193001165805,0.0014859978278422,0.0646460879733503,0.0749147243412294,0.0479820588195096,0.2406429749020234,0.0718364355150937,0.081723708339144,0.087082831047786,0.1305524961426875,0.0631502876570439,0.1808386134219408,20560,1137,653.57201291236
24094,Chalagnac,0,0.0666393845240926,0.0245513521930867,0.0,0.0,0.4068509791997237,0.2314841778205324,0.1087274168550985,0.0701467205516764,0.0455953683585897,0.0,0.0105220080827514,0.0210440161655029,0.0035073360275838,0.772333775904922,0.6837132803721799,0.0886204955327414,0.0212852609915973,0.0,0.0,0.053173978044563,0.0568044081446489,0.0356217415721033,0.2276662240950776,0.0729720397145659,0.0903056635729664,0.0643885208075456,0.0908056471290833,0.0707872836549159,0.2150241753371386,20660,402,285.116678908263
24095,Chalais,0,0.0345409827226574,0.0172704913613287,0.0043176228403321,0.0086352456806643,0.4533503982348784,0.2461045018989339,0.0733995882856469,0.09930532532764,0.0302233598823252,0.0,0.0,0.0431762284033217,0.0172704913613287,0.7617542636190582,0.6844206147555797,0.0773336488634772,0.008953881444533,0.0084370409776182,0.0042185204888091,0.0472871649748984,0.0730951076815155,0.0216025924367415,0.2382457363809409,0.0417015553332625,0.1440248353432937,0.0525193457043844,0.1520324895509756,0.0438851715304112,0.1422163648370634,18880,396,231.60892856567
24096,Champagnac-de-Belair,0,0.0379464889660643,0.0260882111641692,0.0,0.0,0.4624728342739097,0.2585104560813136,0.1233260891397092,0.0806362890528868,0.0664063556906126,0.007114966681137,0.007114966681137,0.0521764223283385,0.002371655560379,0.7658034209364278,0.6902637847463928,0.075539636190035,0.0141161552748723,0.0,0.0070742227777938,0.0875095426400571,0.056468788581218,0.0449617371544221,0.234196579063573,0.0419211411289665,0.1308833197749316,0.0613921181596747,0.0469399893785248,0.0591757039268123,0.1882885665834971,21530,706,421.646387741138
24097,Champagne-et-Fontaine,0,0.0276011918830049,0.0055202383766009,0.0,0.0,0.4526595468812815,0.3201738258428576,0.1324857210384238,0.1380059594150248,0.1214452442852218,0.0,0.0110404767532019,0.0276011918830049,0.0110404767532019,0.738273480636821,0.694545521664093,0.0437279589727288,0.0,0.0,0.0,0.0979884765038329,0.0484648588231092,0.0485912621675742,0.2617265193631789,0.0307209457440226,0.1489224951228183,0.0820830784963379,0.0,0.0259618513443372,0.0534774066462514,21060,341,181.151597409048
24098,Champcevinel,0,0.0611807273299148,0.0533940893061075,0.0033371305816317,0.0022247537210878,0.3214769126971891,0.2424981555985717,0.1757555439659373,0.155176572045875,0.1240300199506456,0.0,0.0050056958724475,0.0294779868044135,0.0038933190119036,0.7437080835617211,0.6788993831796594,0.0648087003820628,0.0017187860883737,0.0069060456052254,0.0028848396011298,0.0356542422741605,0.119974276225778,0.0901563000905366,0.2562919164382795,0.1024757331062569,0.113617854448902,0.0401983288831201,0.0544835057686354,0.1606772304508623,0.2076734893348204,25550,2966,1797.95181915424
24100,Champniers-et-Reilhac,0,0.0395794089856841,0.0079158817971368,0.0,0.0,0.4234996761468202,0.24935027660981,0.067284995275663,0.0831167588699366,0.1108223451599155,0.0,0.0,0.0316635271885473,0.0,0.6612428720356166,0.5648623033929606,0.0963805686426548,0.0156040009426176,0.0,0.0039786701170364,0.0828534578852005,0.0269184341958208,0.0318325494351584,0.3387571279643825,0.037928376603357,0.1748360323927507,0.1259927189682747,0.1185794190736887,0.0386117678782502,0.077239007456153,18310,446,252.656627682768
24101,Champs-Romain,0,0.0581044764748202,0.0129121058832933,0.0,0.0,0.3809071235571546,0.2259618529576341,0.1226650058912871,0.1291210588329338,0.0581044764748202,0.0,0.0064560529416466,0.0451923705915268,0.0,0.7213093153658008,0.6264395362647406,0.0948697791010615,0.0114059189653264,0.0256424268646218,0.0060858158862287,0.0810859488132012,0.0762460441470429,0.0357767033117464,0.2786906846341992,0.0581395670901325,0.1064377626603087,0.1141133548837586,0.1282121343231094,0.0266005153954881,0.1528340394554423,17880,296,154.893401438703
24102,Chancelade,0,0.0642617917722143,0.034114284521052,0.0035700995429007,0.0011900331809669,0.4462624428625995,0.2487169348220888,0.157877735341613,0.1082930194679908,0.06981527995006,0.0015867109079559,0.0047601327238677,0.0293541517971843,0.0043634549968787,0.7341058016499834,0.6594072356968148,0.0746985659531697,0.0077929808073642,0.0020726960836378,0.0078205918506853,0.0618840894205044,0.0743504323276446,0.0494903534887651,0.2658941983500134,0.076542666819423,0.1266769861016608,0.0626745454289295,0.0472549096056698,0.0803927584307334,0.2154846715530615,22780,4336,2520.93811162679
