COM,Nom Commune,NTLBIN,P20_SCOL1824,P20_SCOL2529,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_SUP34,P20_ETUD1564,P20_RETR1564,C20_ACT1564_CS3,C20_ACT1564_CS4
17357,Saint-Maigrin,0,9,1,60,35,0,0,17,3,317.300409723381,23.6903811528326,5.02249427483539,0.991721040261511,0.0,13.0262291735379,16.4356497208882,24.4422536460523,14.7210772306629,24.9577330009172
17358,Saint-Mande-sur-Bredoire,0,1,0,49,16,0,0,8,3,173.738405634585,13.7978694928502,2.00470441775563,0.0,0.0,4.85238266725423,13.2992044363322,18.0115247360369,5.0099617606047,10.0199235212094
17359,Saint-Mard,0,22,2,141,109,0,1,14,4,757.309139681664,69.7437202047218,9.02158238947395,2.05056998470298,4.04589012627259,37.1024339973979,56.3545136505643,68.2270707523279,59.7245638976314,151.85410563898
17360,Sainte-Marie-de-Re,0,54,4,508,342,2,3,99,27,1837.70178231615,194.973802321267,20.9874730509869,8.83246011030682,24.1432375651312,152.883519449582,155.454704733927,197.821256485974,246.749579986706,291.763098881901
17361,Saint-Martial,0,0,0,19,17,0,0,1,0,62.0,6.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,15.0
17362,Saint-Martial-de-Mirambeau,0,4,1,44,26,0,1,8,2,183.052825350733,13.99925384905,4.00671221504984,0.0,0.0,10.0761659147267,9.3107384944735,14.9399202565908,0.0,25.064271381899
17363,Saint-Martial-de-Vitaterne,0,7,2,46,33,2,2,10,0,266.617467070993,18.7097242713715,3.91077952646948,2.8864040937007,0.996449878293817,22.8768371318853,20.3908594388606,25.5399242358779,5.11523023461206,45.6381295820796
17364,Saint-Martial-sur-Ne,0,6,0,66,35,0,1,22,1,266.0,13.0,2.0,2.0,1.0,11.0,28.0,14.0,15.0,65.0
17365,Saint-Martin-d'Ary,0,5,0,58,17,0,1,12,2,257.764700458593,29.0631286474716,8.01455318974181,2.02589731953959,0.981624633805918,11.9256403298883,11.5404083297264,24.1665379697299,9.81624633805918,5.06474329884897
17366,Saint-Martin-de-Coux,0,7,0,66,40,0,0,8,1,282.169219339194,28.6739244730106,3.22811945905244,1.04548514468243,2.15230287060023,15.8350473986895,13.0086261498396,28.3518484856097,15.9889400764133,53.1942142588542
